Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
177,Drilbur,,529,♀,570,85,13,13,11,82.2,15.0,15.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,1900,97.44%,106,97.68%,481400,268,Drilbur,,0,78.61%,877,96.72%,72900,116,Excadrill,,0,,,,,,,,,
178,Geodude,Alola,74,♂,575,68,11,10,4,55.6,17.0,17.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,4000,18.07%,3356,93.10%,83800,99,Graveler,Alola,0,16.12%,3436,94.56%,116800,229,Golem,Alola,0,,,,,,,,,
179,Squirtle,,7,♂,576,84,12,12,5,64.4,23.0,23.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,3000,56.70%,1774,93.79%,333000,257,Wartortle,,0,45.89%,2217,95.28%,320000,357,Blastoise,Normal,0,,,,,,,,,
180,Sizzlipede,,850,♀,578,91,4,10,9,51.1,22.0,22.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3000,54.41%,1868,83.92%,464000,238,Sizzlipede,,0,87.62%,508,97.44%,98000,138,Centiskorch,,0,,,,,,,,,
181,Squirtle,,7,♂,585,96,0,7,14,46.7,26.0,26.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,4000,79.22%,852,95.18%,436000,239,Wartortle,,0,98.36%,68,98.89%,421000,339,Blastoise,Normal,0,,,,,,,,,
182,Squirtle,,7,,587,87,12,13,9,75.6,23.0,23.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3500,61.90%,1561,94.06%,296000,257,Wartortle,,0,42.93%,2338,95.16%,284000,357,Blastoise,Normal,0,,,,,,,,,
183,Gothita,,574,♀,589,89,7,6,6,42.2,25.0,25.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3500,38.71%,2511,94.36%,258000,245,Gothorita,,0,62.86%,1522,95.68%,429000,345,Gothitelle,,0,,,,,,,,,
184,Sprigatito,,906,♂,590,80,14,13,11,84.4,21.0,21.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,2500,52.92%,1929,95.00%,118000,135,Floragato,,0,50.04%,2047,96.01%,104000,219,Meowscarada,,0,,,,,,,,,
185,Drowzee,,96,♂,591,109,0,8,12,44.4,24.0,24.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3500,86.62%,549,96.92%,32000,78,Hypno,,0,29.33%,2895,86.53%,451000,276,Hypno,,0,,,,,,,,,
186,Cyndaquil,,155,♂,597,86,5,2,11,40.0,25.0,25.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3500,55.70%,1815,95.34%,225000,245,Quilava,,0,64.35%,1461,96.40%,122000,247,Typhlosion,Normal,0,,,,,,,,,
187,Fuecoco,,909,♂,598,107,13,4,13,66.7,20.0,20.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,2500,28.08%,2946,93.75%,60500,79,Crocalor,,0,23.39%,3138,94.87%,75000,191,Skeledirge,,0,,,,,,,,,
188,Mareep,,179,♀,600,105,,,,55.6,24.0,24.5,,,,"2026-09-25 00:30","2026-09-25 00:30",,8.88kg,91m,0,0,0,3500,70.69%,9,99.40%,389500,251,Flaaffy,,0,65.63%,8,99.74%,125500,250,Ampharos,Normal,0,,,,,,,,,
189,Mareep,,179,♀,600,105,0,15,15,66.7,24.0,24.0,Tackle,Discharge,,"2026-09-25 00:30","2026-09-25 00:30",,8.88kg,0.7m,0,0,0,3500,99.80%,9,99.40%,352000,251,Flaaffy,,0,99.83%,8,99.74%,121000,243,Ampharos,Normal,0,,,,,,,,,
190,Eevee,,133,♂,598,97,6,10,9,55.6,22.0,22.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3000,52.67%,1939,94.67%,32000,53,Umbreon,,0,84.91%,619,97.31%,64000,81,Vaporeon,,0,,,,,,,,,
191,Eevee,,133,♂,601,99,0,14,9,51.1,23.0,23.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3000,89.60%,427,97.13%,34500,55,Umbreon,,0,99.76%,11,99.31%,68000,83,Vaporeon,,0,,,,,,,,,
192,Sprigatito,,906,,594,80,11,8,7,57.8,22.5,22.5,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3000,36.48%,2602,94.24%,155000,182,Floragato,,0,40.00%,2458,95.64%,131000,252,Meowscarada,,0,,,,,,,,,
193,Rhyhorn,,111,♂,609,98,8,10,8,57.8,14.0,14.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,1600,88.06%,490,97.02%,13000,39,Rhydon,,0,63.39%,1500,95.90%,52100,174,Rhyperior,,0,,,,,,,,,
194,Starly,,396,♀,613,98,10,14,10,75.6,34.0,34.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,4000,94.38%,231,93.08%,352000,159,Staravia,,0,79.12%,856,97.27%,0,125,Staraptor,Normal,0,,,,,,,,,
195,Crustle,,558,♀,616,69,13,13,1,60.0,9.0,9.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,1000,17.90%,3363,93.43%,45000,47,Crustle,,0,6.11%,3846,93.67%,315000,288,Crustle,,0,,,,,,,,,
196,Nidoran♀,,29,♀,617,112,9,12,10,68.9,29.0,29.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,4500,83.66%,670,90.36%,410000,215,Nidorina,,0,50.96%,2009,95.76%,248000,315,Nidoqueen,,0,,,,,,,,,
197,Trubbish,,568,♀,621,91,6,14,0,44.4,25.0,25.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3500,41.93%,2379,82.60%,444000,220,Trubbish,,0,41.54%,2395,93.42%,444000,270,Garbodor,,0,,,,,,,,,
198,Taillow,,276,♀,621,98,8,9,10,60.0,34.0,34.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3500,70.53%,1208,83.71%,352000,134,Taillow,,0,70.50%,1209,89.73%,352000,184,Swellow,,0,,,,,,,,,
199,Sewaddle,,540,♀,622,87,12,11,6,64.4,24.0,24.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3500,78.80%,869,93.19%,451000,251,Swadloon,,0,24.22%,3104,94.98%,221000,351,Leavanny,,0,,,,,,,,,
200,Pikipek,,731,♂,622,83,12,12,14,84.4,25.0,25.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3500,76.68%,956,94.87%,270000,245,Trumbeak,,0,70.01%,1229,96.95%,130000,257,Toucannon,,0,,,,,,,,,
201,Volbeat,,313,♂,625,85,11,7,14,71.1,13.0,13.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,1600,35.41%,2646,93.85%,124800,114,Volbeat,,0,87.25%,523,92.54%,502800,276,Volbeat,,0,,,,,,,,,
202,Stunky,,434,♂,626,103,10,0,5,33.3,22.0,22.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3000,23.49%,3134,93.63%,16500,65,Skuntank,,0,13.89%,3527,89.52%,464000,288,Skuntank,,0,,,,,,,,,
203,Eevee,,133,♂,629,99,9,4,10,51.1,23.0,23.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3000,60.07%,1636,95.11%,26000,47,Umbreon,,0,48.42%,2113,95.93%,74000,89,Flareon,,0,,,,,,,,,
204,Varoom,,965,♂,636,83,14,15,11,88.9,20.0,20.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,2500,98.80%,50,95.97%,475000,248,Varoom,,0,67.50%,1332,96.77%,75000,116,Revavroom,,0,,,,,,,,,
205,Swablu,,333,♀,638,98,14,12,12,84.4,28.0,28.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,4500,97.78%,92,94.46%,419000,198,Swablu,,0,98.05%,81,96.78%,419000,598,Altaria,Normal,0,,,,,,,,,
206,Glameow,,431,♀,643,99,4,5,4,28.9,29.0,29.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,4500,45.23%,2244,94.76%,15000,62,Purugly,,0,13.24%,3554,82.76%,410000,240,Purugly,,0,,,,,,,,,
207,Flabébé,,669,♀,645,83,12,11,4,60.0,23.0,23.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,3000,25.05%,3070,92.99%,284000,257,Floette,,0,10.92%,3649,93.83%,39000,159,Florges,,0,,,,,,,,,
208,Geodude,Normal,74,♂,649,78,0,13,11,53.3,20.0,20.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,2500,99.71%,13,99.37%,91000,105,Graveler,Normal,0,99.73%,12,99.31%,130000,247,Golem,Normal,0,,,,,,,,,
209,Litten,,725,♂,655,92,1,0,3,8.9,28.0,28.0,,,,"2026-09-25 00:30","2026-09-25 00:30",,,,0,0,0,4500,39.54%,2477,94.42%,245000,223,Torracat,,0,56.51%,1782,96.17%,105000,235,Incineroar,,0,,,,,,,,,
210,Growlithe,Normal,58,♂,657,94,5,7,9,46.7,21.0,21.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,2500,44.54%,2272,83.26%,470000,244,Growlithe,Normal,0,51.16%,2001,96.08%,92000,132,Arcanine,Normal,0,,,,,,,,,
211,Oddish,,43,♂,660,80,15,7,7,64.4,20.0,20.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,2500,6.45%,3832,92.47%,145000,165,Gloom,,0,77.83%,909,95.02%,475000,373,Bellossom,,0,,,,,,,,,
212,Eevee,,133,♂,662,102,6,5,7,40.0,25.0,25.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3500,50.38%,2033,94.53%,16000,39,Umbreon,,0,75.36%,1010,96.75%,44000,63,Espeon,,0,,,,,,,,,
213,Fidough,,926,♀,662,81,15,14,11,88.9,24.0,24.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3500,11.04%,3644,92.09%,7000,56,Dachsbun,,0,98.78%,51,97.38%,451000,276,Dachsbun,,0,,,,,,,,,
214,Volbeat,,313,♂,666,83,10,15,5,66.7,14.0,14.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1600,49.26%,2079,94.59%,133600,122,Volbeat,,0,82.59%,714,91.64%,499600,272,Volbeat,,0,,,,,,,,,
215,Tepig,,498,♂,667,113,11,9,14,75.6,23.0,23.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3000,52.26%,1956,95.23%,43500,63,Pignite,,0,63.32%,1503,96.32%,68000,183,Emboar,,0,,,,,,,,,
216,Lileep,,345,♂,674,102,13,0,6,42.2,20.0,20.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3000,0.59%,4072,90.91%,31000,78,Cradily,,0,43.20%,2327,88.14%,475000,298,Cradily,,0,,,,,,,,,
217,Vanillite,,582,♀,679,81,4,15,6,55.6,26.0,26.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,4000,83.91%,660,96.66%,250000,239,Vanillish,,0,84.71%,627,97.54%,122000,251,Vanilluxe,,0,,,,,,,,,
218,Bulbasaur,,1,♂,680,95,3,0,15,40.0,25.0,25.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3500,82.32%,725,96.98%,194000,245,Ivysaur,,0,66.76%,1362,96.73%,204000,345,Venusaur,Normal,0,,,,,,,,,
219,Natu,,177,♂,680,83,10,13,10,73.3,23.0,23.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3000,76.95%,945,96.14%,14000,62,Xatu,,0,91.14%,364,93.79%,458000,282,Xatu,,0,,,,,,,,,
220,Greavard,,971,♀,687,102,8,8,14,66.7,26.0,26.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,4000,77.19%,935,88.02%,436000,214,Greavard,,0,60.42%,1622,96.35%,262000,264,Houndstone,,0,,,,,,,,,
221,Lickitung,,108,♀,691,121,8,11,2,46.7,19.0,19.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,2500,16.04%,3439,93.01%,19000,117,Lickilicky,,0,51.55%,1985,95.33%,394000,352,Lickilicky,,0,,,,,,,,,
222,Bruxish,,779,♀,691,77,8,6,7,46.7,11.0,11.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1300,17.34%,3386,93.06%,53500,55,Bruxish,,0,51.55%,1985,94.70%,508000,284,Bruxish,,0,,,,,,,,,
223,Absol,Normal,359,♂,695,73,12,12,10,75.6,10.0,10.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1000,84.57%,633,96.60%,43000,45,Absol,Normal,0,65.84%,1400,96.53%,302000,286,Absol,Normal,0,,,,,,,,,
224,Ekans,,23,♀,702,92,4,8,15,60.0,30.0,30.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,5000,68.06%,1309,85.50%,400000,182,Ekans,,0,69.96%,1231,90.04%,400000,232,Arbok,,0,,,,,,,,,
225,Kecleon,,352,♀,712,78,14,0,8,48.9,13.0,13.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1600,4.03%,3931,91.44%,74800,70,Kecleon,,0,49.62%,2064,88.23%,502800,276,Kecleon,,0,,,,,,,,,
226,Fidough,,926,♀,720,86,14,15,13,93.3,26.0,26.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,4000,99.56%,19,97.31%,436000,214,Fidough,,0,99.76%,11,98.70%,436000,264,Dachsbun,,0,,,,,,,,,
227,Fidough,,926,♂,725,90,8,3,12,51.1,29.0,29.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,4500,53.02%,1925,83.63%,410000,190,Fidough,,0,60.90%,1602,89.58%,410000,240,Dachsbun,,0,,,,,,,,,
228,Purugly,,432,♀,725,94,9,3,15,60.0,14.0,14.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1600,18.24%,3349,93.27%,85100,78,Purugly,,0,61.81%,1565,88.94%,499600,272,Purugly,,0,,,,,,,,,
229,Gothita,,574,♀,729,96,15,10,9,75.6,28.0,28.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,4500,21.93%,3198,93.36%,122000,157,Gothorita,,0,35.85%,2628,94.49%,269000,323,Gothitelle,,0,,,,,,,,,
230,Zangoose,,335,,731,82,15,9,9,73.3,11.0,11.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1300,43.96%,2296,94.57%,47000,49,Zangoose,,0,46.45%,2194,94.73%,383000,284,Zangoose,,0,,,,,,,,,
231,Hitmonlee,,106,♂,747,65,1,14,10,55.6,11.0,11.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1300,99.49%,22,99.20%,44000,46,Hitmonlee,,0,91.58%,346,97.76%,334000,284,Hitmonlee,,0,,,,,,,,,
232,Gothita,,574,♂,750,98,13,7,6,57.8,30.0,30.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,5000,8.42%,3751,92.38%,140000,192,Gothorita,,0,33.77%,2713,94.41%,314000,307,Gothitelle,,0,,,,,,,,,
233,Geodude,Alola,74,♂,750,76,10,6,0,35.6,23.0,23.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3000,11.94%,3607,92.64%,68000,83,Graveler,Alola,0,5.86%,3856,93.88%,106000,223,Golem,Alola,0,,,,,,,,,
234,Scraggy,,559,♀,763,88,5,11,4,44.4,22.0,22.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3000,45.52%,2232,94.69%,20000,68,Scrafty,,0,34.36%,2689,90.23%,464000,288,Scrafty,,0,,,,,,,,,
235,Geodude,Normal,74,♀,772,78,12,7,3,48.9,23.0,23.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3000,5.52%,3870,92.02%,53000,71,Graveler,Normal,0,12.55%,3582,94.36%,92000,207,Golem,Normal,0,,,,,,,,,
236,Charmander,,4,♂,778,98,10,4,15,64.4,31.0,31.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,5000,50.92%,2011,95.13%,102000,145,Charmeleon,,0,49.79%,2057,95.87%,31000,157,Charizard,Normal,0,,,,,,,,,
237,Bagon,,371,♀,780,94,10,11,14,77.8,25.0,25.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3500,37.17%,2574,94.11%,12000,35,Shelgon,,0,93.55%,265,94.40%,444000,245,Shelgon,,0,,,,,,,,,
238,Grimer,Normal,88,♀,790,129,4,5,12,46.7,23.0,23.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,3500,33.60%,2720,85.72%,458000,232,Grimer,Normal,0,69.84%,1236,96.85%,188000,252,Muk,Normal,0,,,,,,,,,
239,Stunfisk,Galar,618,♂,800,130,0,0,12,26.7,15.0,15.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1900,92.28%,317,97.45%,77400,70,Stunfisk,Galar,0,4.32%,3919,82.10%,496400,268,Stunfisk,Galar,0,,,,,,,,,
240,Machop,,66,,803,121,3,4,6,28.9,26.0,26.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,4000,51.43%,1990,95.03%,26000,49,Machoke,,0,43.98%,2295,95.58%,70000,189,Machamp,,0,,,,,,,,,
241,Crocalor,,910,♂,814,105,13,15,12,88.9,15.0,15.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1900,75.46%,1006,96.51%,9800,110,Skeledirge,,0,27.77%,2959,95.08%,86400,178,Skeledirge,,0,,,,,,,,,
242,Magmar,,126,♂,829,82,13,2,8,51.1,13.0,13.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1600,33.65%,2718,93.87%,48300,47,Magmar,,0,33.60%,2720,93.52%,472800,276,Magmar,,0,,,,,,,,,
243,Shelgon,,372,♂,841,90,13,11,11,77.8,15.0,15.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,1900,36.65%,2595,94.08%,64400,58,Shelgon,,0,21.34%,3222,94.65%,41900,139,Salamence,Normal,0,,,,,,,,,
244,Slowpoke,Normal,79,♂,848,154,8,4,15,60.0,27.0,27.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,4000,53.92%,1888,85.17%,428000,206,Slowpoke,Normal,0,48.13%,2125,95.69%,254000,256,Slowbro,Normal,0,,,,,,,,,
245,Snorlax,,143,♂,858,141,5,12,6,51.1,10.0,10.0,,,,"2026-09-25 00:29","2026-09-25 00:29",,,,0,0,0,4000,35.97%,2623,94.00%,21200,26,Snorlax,,0,80.90%,783,97.26%,100000,96,Snorlax,,0,,,,,,,,,
246,Gastly,,92,♀,881,74,15,15,7,82.2,26.0,26.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,4000,65.98%,1394,95.42%,12500,37,Haunter,,0,38.53%,2518,95.30%,58000,177,Gengar,Normal,0,,,,,,,,,
247,Dedenne,,702,♀,902,98,11,14,7,71.1,18.0,18.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,2200,26.03%,3030,93.97%,79400,70,Dedenne,,0,89.87%,416,93.28%,484400,256,Dedenne,,0,,,,,,,,,
248,Camerupt,Normal,323,,916,95,12,14,12,84.4,15.0,15.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,1900,78.63%,876,96.09%,48900,45,Camerupt,Normal,0,97.61%,99,96.04%,496400,268,Camerupt,Normal,0,,,,,,,,,
249,Phanpy,,231,♀,941,157,9,9,8,57.8,30.0,30.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,5000,67.77%,1321,87.13%,400000,182,Phanpy,,0,65.30%,1422,96.62%,16000,64,Donphan,,0,,,,,,,,,
250,Forretress,,205,♀,946,99,11,15,11,82.2,15.0,15.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,1900,52.09%,1963,95.08%,41900,39,Forretress,,0,99.37%,27,99.33%,496400,268,Forretress,,0,,,,,,,,,
251,Growlithe,Normal,58,♂,959,114,4,12,10,57.8,30.0,30.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,5000,72.41%,1131,87.47%,400000,182,Growlithe,Normal,0,86.54%,552,97.63%,16000,64,Arcanine,Normal,0,,,,,,,,,
252,Ferrothorn,,598,♀,975,100,13,11,15,86.7,15.0,15.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,1900,67.11%,1348,95.64%,38400,36,Ferrothorn,,0,93.75%,257,97.48%,424400,268,Ferrothorn,,0,,,,,,,,,
253,Zygarde,10%,718,,991,81,10,15,14,86.7,15.0,15.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,1900,88.08%,489,96.91%,35400,33,Zygarde,10%,0,91.99%,329,97.04%,384400,268,Zygarde,10%,0,,,,,,,,,
254,Volbeat,,313,♂,998,104,11,9,8,62.2,21.0,21.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,2500,43.39%,2319,94.26%,104000,94,Volbeat,,0,74.77%,1034,90.44%,470000,244,Volbeat,,0,,,,,,,,,
255,Torracat,,726,♂,1014,106,2,15,4,46.7,23.0,23.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,3000,96.75%,134,98.13%,170000,178,Torracat,,0,76.83%,950,97.01%,92000,182,Incineroar,,0,,,,,,,,,
256,Ponyta,Normal,77,♀,1019,90,15,9,8,71.1,22.0,22.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,3000,38.73%,2510,94.08%,0,50,Rapidash,Normal,0,23.61%,3129,94.41%,302000,288,Rapidash,Normal,0,,,,,,,,,
257,Squawkabilly,,931,♂,1056,123,6,11,14,68.9,20.0,20.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,2500,70.06%,1227,95.86%,56000,50,Squawkabilly,,0,83.17%,690,91.79%,475000,248,Squawkabilly,,0,,,,,,,,,
258,Grimer,Normal,88,♀,1063,145,4,8,5,37.8,32.0,32.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,6000,30.84%,2833,85.29%,378000,162,Grimer,Normal,0,64.44%,1457,96.62%,118000,197,Muk,Normal,0,,,,,,,,,
259,Munchlax,,446,♂,1064,178,14,14,12,88.9,20.0,20.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,6000,37.24%,2571,94.17%,56000,50,Munchlax,,0,17.09%,3396,94.19%,47000,92,Snorlax,,0,,,,,,,,,
260,Stufful,,759,♂,1065,136,4,13,15,71.1,30.0,30.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,5000,87.35%,519,92.87%,400000,182,Stufful,,0,87.35%,519,91.03%,400000,182,Stufful,,0,,,,,,,,,
261,Squawkabilly,,931,♀,1094,120,12,15,9,80.0,20.0,20.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,1900,43.42%,2318,94.57%,47000,42,Squawkabilly,,0,96.83%,131,95.67%,475000,248,Squawkabilly,,0,,,,,,,,,
262,Rhyhorn,,111,♀,1105,129,14,15,8,82.2,24.0,24.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,3500,36.34%,2608,94.15%,113000,108,Rhyhorn,,0,64.18%,1468,96.34%,32000,53,Rhydon,,0,,,,,,,,,
263,Magmar,,126,♀,1156,97,11,6,9,57.8,18.0,18.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,2200,23.98%,3114,93.36%,26400,24,Magmar,,0,63.05%,1514,95.14%,440400,256,Magmar,,0,,,,,,,,,
264,Chatot,,441,♀,1180,129,15,1,11,60.0,25.0,25.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,3500,9.33%,3714,92.64%,85000,78,Chatot,,0,45.64%,2227,85.22%,444000,220,Chatot,,0,,,,,,,,,
265,Ivysaur,,2,♀,1195,110,7,12,4,51.1,27.0,27.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,4000,55.34%,1830,95.46%,131000,140,Ivysaur,,0,59.46%,1661,96.43%,158000,276,Venusaur,Normal,0,,,,,,,,,
266,Heatmor,,631,♂,1231,121,0,2,0,4.4,21.0,21.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,2500,67.28%,1341,95.83%,30000,27,Heatmor,,0,0.27%,4085,85.92%,470000,244,Heatmor,,0,,,,,,,,,
267,Heatmor,,631,♀,1248,119,12,12,8,71.1,19.0,19.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,2200,31.45%,2808,94.19%,19000,17,Heatmor,,0,65.89%,1398,95.58%,381000,252,Heatmor,,0,,,,,,,,,
268,Sandslash,Normal,28,♂,1249,110,11,3,4,40.0,20.0,20.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,2500,45.69%,2225,94.41%,24000,22,Sandslash,Normal,0,30.16%,2861,93.37%,475000,248,Sandslash,Normal,0,,,,,,,,,
269,Volbeat,,313,♂,1263,113,11,12,0,51.1,27.0,27.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,4000,30.13%,2862,93.59%,76000,72,Volbeat,,0,50.84%,2014,87.49%,428000,206,Volbeat,,0,,,,,,,,,
270,Squawkabilly,,931,♂,1265,138,1,1,10,26.7,26.0,26.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,4000,77.36%,928,96.24%,52000,46,Squawkabilly,,0,6.59%,3826,80.26%,436000,214,Squawkabilly,,0,,,,,,,,,
271,Murkrow,,198,♀,1285,123,11,7,11,64.4,32.0,32.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,6000,46.40%,2196,94.61%,181000,162,Murkrow,,0,23.35%,3140,94.66%,90000,208,Honchkrow,,0,,,,,,,,,
272,Solrock,,338,,1286,134,2,13,12,60.0,21.0,21.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,2500,99.39%,26,98.55%,22500,21,Solrock,,0,78.34%,888,96.14%,470000,244,Solrock,,0,,,,,,,,,
273,Bibarel,,400,♀,1299,135,2,12,4,40.0,28.0,28.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,4500,87.40%,517,97.26%,74000,72,Bibarel,,0,40.10%,2454,85.79%,419000,198,Bibarel,,0,,,,,,,,,
274,Sawk,,539,♂,1330,108,1,0,6,15.6,19.0,19.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,2200,25.76%,3041,93.58%,10000,8,Sawk,,0,64.44%,1457,96.66%,261000,252,Sawk,,0,,,,,,,,,
275,Magmar,,126,♀,1343,104,0,1,0,2.2,23.0,23.0,,,,"2026-09-25 00:28","2026-09-25 00:28",,,,0,0,0,3000,44.03%,2293,94.33%,18000,15,Magmar,,0,50.77%,2017,95.72%,106000,198,Magmortar,,0,,,,,,,,,
